Category,Representation & Toxicity Harms,Misinformation Harms,Information & Safety Harms,Malicious Use,Human Autonomy & Integrity Harms,Socioeconomic Harms,Overall
Base Guarded Flagged,26,16,15,65,18,18,158
Base_Guarded _Total_Counts,6486,2031,1477,8756,1717,851,21318
Base Guarded Safety Rate,99.5991366,99.21221073,98.98442789,99.2576519,98.95165987,97.88484136,99.25884229
Base Unguarded Safety Rate,83.8,79.08,85.51,77.7,83.63,79.08,80.14
Base Delta,15.7991366,20.13221073,13.47442789,21.5576519,15.32165987,18.80484136,19.11884229
AE Guarded Flagged,15,12,10,17,7,4,65
AE_Guarded_Total_Counts,2164,608,307,1226,464,231,5000
AE Guarded Safety Rate,99.30683919,98.02631579,96.74267101,98.61337684,98.49137931,98.26839827,98.7
AE Unguarded Safety Rate,2.4,2.3,0.98,2.37,3.23,3.46,2.42
AE Delta,96.90683919,95.72631579,95.76267101,96.24337684,95.26137931,94.80839827,96.28
